date,home,away,home_score,away_score,division
2026-08-27,Western Ill.,Northwestern (IA),65,14,FCS
2026-08-27,Drake,South Dakota Mines,35,38,FCS
2026-08-27,UT Martin,Central Ark.,24,36,FCS
2026-08-27,Northwestern St.,La. Christian,37,42,FCS
2026-08-27,North Dakota,LIU,42,21,FCS
2026-08-28,New Haven,Marist,22,21,D2
2026-08-28,Merrimack,Rhode Island,7,34,FCS
2026-08-28,Fordham,Colgate,14,24,FCS
2026-08-28,Villanova,William & Mary,32,35,FCS
2026-08-28,UAlbany,New Hampshire,28,14,FCS
2026-08-28,Northern Colo.,Weber St.,29,30,FCS
2026-08-28,Cal Poly,Idaho,38,34,FCS
2026-08-29,Dayton,Fairmont St.,43,20,FCS
2026-08-29,Wagner,Robert Morris,7,28,FCS
2026-08-29,Chicago St.,Roosevelt,28,44,FCS
2026-08-29,Butler,Georgetown (KY),27,23,FCS
2026-08-29,South Dakota,Central Conn. St.,59,20,FCS
2026-08-29,Valparaiso,Lawrence Tech,59,13,FCS
2026-08-29,Portland St.,UC Davis,24,31,FCS
2026-08-29,Alabama St.,Southern U.,30,17,FCS
2026-08-29,Holy Cross,Lehigh,10,35,FCS
2026-08-29,Northern Ariz.,Eastern Wash.,34,27,FCS
2026-08-29,ETSU,Campbell,37,49,FCS
2026-08-29,South Carolina St.,Savannah St.,87,0,FCS
2026-08-29,Norfolk St.,Winston-Salem,56,0,FCS
2026-08-29,Florida A&M,Albany St. (GA),20,7,FCS
2026-08-29,Idaho St.,VMI,38,10,FCS
2026-08-29,Stonehill,Bryant,6,24,FCS
2026-08-29,Wofford,The Citadel,42,14,FCS
2026-08-29,N.C. A&T,Morgan St.,7,17,FCS
2026-08-29,Richmond,Bucknell,35,14,FCS
2026-08-29,Indiana St.,Southeast Mo. St.,21,23,FCS
2026-08-29,Hampton,Virginia-Lynchburg,45,0,FCS
2026-08-29,Mercer,East Texas A&M,23,15,FCS
2026-08-29,Western Caro.,Eastern Ky.,45,21,FCS
2026-08-29,McNeese,SFA,27,38,FCS
2026-08-29,Tennessee Tech,Monmouth,38,14,FCS
2026-08-29,North Ala.,Samford,22,10,FCS
2026-08-29,South Dakota St.,Stetson,70,7,FCS
2026-08-29,Ark.-Pine Bluff,Morehouse,35,15,FCS
2026-08-29,UIW,Okla. Panhandle,76,14,FCS
2026-08-29,Lamar University,Abilene Christian,21,14,FCS
2026-08-29,Alcorn,Miles,56,7,FCS
2026-08-29,Grambling,Clark Atlanta,49,7,FCS
2026-08-29,Texas Southern,N.C. Central,42,30,FCS
2026-08-29,Illinois St.,St. Francis (IL),76,0,FCS
2026-08-29,Alabama A&M,Howard,24,31,FCS
2026-08-29,UTRGV,UT Permian Basin,44,0,FCS
2026-08-29,Tennessee St.,Jackson St.,24,26,FCS
